tech,distance_m,location,protocol,direction,sample,pci,rnti,dl_cqi,dl_ri,dl_mcs,dl_brate,dl_ok,dl_nok,dl_bler,dl_bs,ul_snr,ul_pucch_snr,ul_rsrp,ul_phr,ul_ri,ul_mcs,ul_brate,ul_ok,ul_nok,ul_bler,ul_bsr,ul_ta
5G,5,Loc_2_5m,UDP,UL,30,1.0,4601,12.0,1.0,19.0,12000.0,28.0,0.0,0.0,0.0,0.9,,-34.8,-19.0,1.0,0.0,706000.0,394.0,6.0,1.0,700000.0,2.97e-07
5G,5,Loc_2_5m,UDP,UL,31,1.0,4601,12.0,1.0,19.0,12000.0,28.0,0.0,0.0,0.0,1.6,,-34.3,-18.0,1.0,0.0,717000.0,393.0,7.0,1.0,700000.0,2.97e-07
5G,5,Loc_2_5m,UDP,UL,32,1.0,4601,12.0,1.0,19.0,13000.0,29.0,0.0,0.0,0.0,1.1,,-34.7,-17.0,1.0,0.0,661000.0,399.0,1.0,0.0,700000.0,2.75e-07
5G,5,Loc_2_5m,UDP,UL,33,1.0,4601,12.0,1.0,19.0,12000.0,28.0,0.0,0.0,0.0,1.7,,-34.2,-16.0,1.0,1.0,759000.0,391.0,9.0,2.0,700000.0,2.79e-07
5G,5,Loc_2_5m,UDP,UL,34,1.0,4601,12.0,1.0,19.0,13000.0,30.0,0.0,0.0,0.0,3.0,,-32.9,-19.0,1.0,1.0,946000.0,390.0,10.0,2.0,700000.0,2.85e-07
5G,5,Loc_2_5m,UDP,UL,35,1.0,4601,12.0,1.0,19.0,13000.0,29.0,0.0,0.0,0.0,3.1,,-32.7,-22.0,1.0,1.0,828000.0,392.0,8.0,2.0,108000.0,2.8300000000000003e-07
5G,5,Loc_2_5m,UDP,UL,36,1.0,4601,12.0,1.0,20.0,34000.0,37.0,0.0,0.0,0.0,3.5,,-32.0,-21.0,1.0,1.0,758000.0,341.0,1.0,0.0,0.0,2.6900000000000004e-07
5G,5,Loc_2_5m,UDP,UL,37,1.0,4601,13.0,1.0,22.0,4800.0,5.0,0.0,0.0,0.0,4.9,,-31.3,-20.0,1.0,3.0,5000.0,2.0,0.0,0.0,0.0,2.9300000000000004e-07
5G,10,Loc_3_10m,TCP,DL,0,1.0,4601,14.0,1.0,3.0,3000.0,6.0,0.0,0.0,0.0,4.3,,-31.7,-9.0,1.0,9.0,8300.0,3.0,0.0,0.0,745.0,-1.77e-07
5G,10,Loc_3_10m,TCP,DL,1,1.0,4601,11.0,1.0,8.0,9700.0,19.0,1.0,5.0,0.0,2.9,,-32.7,-10.0,1.0,8.0,13600.0,4.0,3.0,42.0,0.0,-2.14e-07
5G,10,Loc_3_10m,TCP,DL,2,1.0,4601,10.0,1.0,16.0,2100.0,4.0,0.0,0.0,0.0,2.5,,-32.5,-10.0,1.0,3.0,9790.0,3.0,3.0,50.0,0.0,3.2400000000000004e-07
5G,10,Loc_3_10m,TCP,DL,3,1.0,4601,10.0,1.0,19.0,2700000.0,137.0,68.0,33.0,0.0,-10.0,,-35.6,-12.0,1.0,1.0,58500.0,38.0,33.0,46.0,5450.0,2.82e-07
5G,10,Loc_3_10m,TCP,DL,4,1.0,4601,12.0,1.0,20.0,12000000.0,557.0,326.0,36.0,0.0,-13.8,,-37.9,-13.0,1.0,0.0,276000.0,236.0,164.0,41.0,10600.0,3.01e-07
5G,10,Loc_3_10m,TCP,DL,5,1.0,4601,13.0,1.0,18.0,11000000.0,564.0,283.0,33.0,13200.0,-12.4,,-37.8,-13.0,1.0,0.0,291000.0,245.0,155.0,38.0,14700.0,2.8800000000000004e-07
5G,10,Loc_3_10m,TCP,DL,6,1.0,4601,12.0,1.0,16.0,8700000.0,547.0,298.0,35.0,17400.0,-13.2,,-38.9,-12.0,1.0,0.0,240000.0,210.0,190.0,47.0,14700.0,2.41e-07
5G,10,Loc_3_10m,TCP,DL,7,1.0,4601,12.0,1.0,16.0,9600000.0,549.0,327.0,37.0,1150.0,-14.9,,-38.5,-12.0,1.0,0.0,270000.0,233.0,167.0,41.0,14700.0,2.77e-07
5G,10,Loc_3_10m,TCP,DL,8,1.0,4601,12.0,1.0,14.0,9000000.0,540.0,416.0,43.0,0.0,-16.3,,-38.4,-12.0,1.0,0.0,241000.0,213.0,187.0,46.0,20500.0,2.3000000000000002e-07
5G,10,Loc_3_10m,TCP,DL,9,1.0,4601,12.0,1.0,14.0,9000000.0,554.0,436.0,44.0,0.0,-17.0,,-38.3,-11.0,1.0,0.0,237000.0,211.0,189.0,47.0,28600.0,2.63e-07
5G,10,Loc_3_10m,TCP,DL,10,1.0,4601,12.0,1.0,13.0,8400000.0,559.0,424.0,43.0,0.0,-17.0,,-38.5,-11.0,1.0,0.0,228000.0,205.0,195.0,48.0,39800.0,2.9000000000000003e-07
5G,10,Loc_3_10m,TCP,DL,11,1.0,4601,12.0,1.0,13.0,8800000.0,595.0,453.0,43.0,5060.0,-18.2,,-38.2,-11.0,1.0,0.0,223000.0,202.0,198.0,49.0,39800.0,2.4500000000000004e-07
5G,10,Loc_3_10m,TCP,DL,12,1.0,4601,12.0,1.0,13.0,8700000.0,577.0,519.0,47.0,0.0,-18.7,,-38.4,-11.0,1.0,0.0,208000.0,191.0,209.0,52.0,55500.0,2.3700000000000002e-07
5G,10,Loc_3_10m,TCP,DL,13,1.0,4601,12.0,1.0,13.0,8300000.000000001,554.0,518.0,48.0,0.0,-18.7,,-38.6,-11.0,1.0,0.0,211000.0,193.0,207.0,51.0,55500.0,2.54e-07
5G,10,Loc_3_10m,TCP,DL,14,1.0,4601,12.0,1.0,13.0,8900000.0,597.0,455.0,43.0,5500.0,-17.4,,-38.4,-13.0,1.0,0.0,209000.0,192.0,208.0,52.0,77300.0,2.89e-07
5G,10,Loc_3_10m,TCP,DL,15,1.0,4601,12.0,1.0,13.0,9300000.0,608.0,487.0,44.0,0.0,-17.0,,-38.0,-13.0,1.0,0.0,215000.0,195.0,205.0,51.0,77300.0,2.77e-07
5G,10,Loc_3_10m,TCP,DL,16,1.0,4601,12.0,1.0,13.0,9000000.0,595.0,451.0,43.0,38800.0,-15.0,,-37.8,-16.0,1.0,0.0,230000.0,206.0,194.0,48.0,77300.0,2.62e-07
5G,10,Loc_3_10m,TCP,DL,17,1.0,4601,12.0,1.0,13.0,7600000.0,506.0,434.0,46.0,0.0,-15.3,,-39.1,-16.0,1.0,0.0,181000.0,167.0,233.0,58.0,62600.0,2.3700000000000002e-07
5G,10,Loc_3_10m,TCP,DL,18,1.0,4601,12.0,1.0,12.0,8800000.0,586.0,540.0,47.0,0.0,-15.7,,-37.6,-12.0,1.0,0.0,210000.0,192.0,208.0,52.0,108000.0,2.51e-07
5G,10,Loc_3_10m,TCP,DL,19,1.0,4601,11.0,1.0,11.0,7300000.0,569.0,522.0,47.0,32200.000000000004,-19.6,,-38.5,-13.0,1.0,0.0,173000.0,156.0,244.0,61.0,77300.0,2.4500000000000004e-07
5G,10,Loc_3_10m,TCP,DL,20,1.0,4601,11.0,1.0,11.0,5900000.0,467.0,549.0,54.0,15800.0,-18.8,,-39.6,-13.0,1.0,0.0,139000.0,126.0,274.0,68.0,77300.0,2.34e-07
5G,10,Loc_3_10m,TCP,DL,21,1.0,4601,11.0,1.0,11.0,7300000.0,579.0,519.0,47.0,10400.0,-19.5,,-38.4,-18.0,1.0,0.0,174000.0,160.0,240.0,60.0,150000.0,2.51e-07
5G,10,Loc_3_10m,TCP,DL,22,1.0,4601,10.0,1.0,9.0,7500000.0,661.0,606.0,47.0,0.0,-20.3,,-37.2,-15.0,1.0,0.0,192000.0,180.0,220.0,55.0,108000.0,2.77e-07
5G,10,Loc_3_10m,TCP,DL,23,1.0,4601,10.0,1.0,9.0,7900000.0,688.0,576.0,45.0,0.0,-16.0,,-36.7,-11.0,1.0,0.0,202000.0,187.0,213.0,53.0,108000.0,2.5900000000000003e-07
5G,10,Loc_3_10m,TCP,DL,24,1.0,4601,11.0,1.0,11.0,8100000.0,635.0,526.0,45.0,13200.0,-15.6,,-37.2,-14.0,1.0,0.0,213000.0,194.0,206.0,51.0,77300.0,2.49e-07
5G,10,Loc_3_10m,TCP,DL,25,1.0,4601,10.0,1.0,9.0,7700000.0,665.0,601.0,47.0,15300.0,-17.2,,-36.6,-15.0,1.0,0.0,194000.0,181.0,219.0,54.0,108000.0,2.6e-07
5G,10,Loc_3_10m,TCP,DL,26,1.0,4601,9.0,1.0,7.0,6400000.0,685.0,706.0,50.0,540.0,-19.9,,-37.0,-15.0,1.0,0.0,149000.0,151.0,249.0,62.0,108000.0,2.55e-07
5G,10,Loc_3_10m,TCP,DL,27,1.0,4601,9.0,1.0,7.0,6400000.0,660.0,693.0,51.0,25800.0,-18.5,,-37.2,-15.0,1.0,0.0,170000.0,165.0,235.0,58.0,77300.0,2.5000000000000004e-07
5G,10,Loc_3_10m,TCP,DL,28,1.0,4601,9.0,1.0,8.0,7100000.0,685.0,645.0,48.0,11800.0,-16.7,,-36.8,-14.0,1.0,0.0,180000.0,172.0,228.0,57.0,77300.0,2.3500000000000003e-07
5G,10,Loc_3_10m,TCP,DL,29,1.0,4601,9.0,1.0,8.0,7700000.0,700.0,714.0,50.0,17100.0,-17.8,,-36.6,-14.0,1.0,0.0,159000.0,157.0,243.0,60.0,55500.0,2.5700000000000004e-07
5G,10,Loc_3_10m,TCP,DL,30,1.0,4601,9.0,1.0,9.0,8000000.0,711.0,666.0,48.0,47500.0,-17.1,,-36.5,-16.0,1.0,0.0,177000.0,170.0,230.0,57.0,55500.0,2.3700000000000002e-07
5G,10,Loc_3_10m,TCP,DL,31,1.0,4601,9.0,1.0,9.0,8199999.999999999,702.0,753.0,51.0,0.0,-18.8,,-36.5,-15.0,1.0,0.0,149000.0,150.0,250.0,62.0,55500.0,2.3500000000000003e-07
5G,10,Loc_3_10m,TCP,DL,32,1.0,4601,9.0,1.0,10.0,8800000.0,707.0,786.0,52.0,53400.0,-19.1,,-36.2,-15.0,1.0,0.0,148000.0,150.0,250.0,62.0,39800.0,2.79e-07
5G,10,Loc_3_10m,TCP,DL,33,1.0,4601,9.0,1.0,11.0,10000000.0,703.0,882.0,55.0,790000.0,-20.7,,-36.2,-15.0,1.0,0.0,124000.0,133.0,267.0,66.0,39800.0,2.63e-07
5G,10,Loc_3_10m,TCP,DL,34,1.0,4601,10.0,1.0,13.0,12000000.0,700.0,900.0,56.0,1060000.0,-21.2,,-36.4,-15.0,1.0,0.0,115000.0,127.0,273.0,68.0,28600.0,2.58e-07
5G,10,Loc_3_10m,TCP,DL,35,1.0,4601,9.0,1.0,14.0,13000000.0,700.0,900.0,56.0,2140000.0,-21.8,,-36.6,-14.0,1.0,0.0,102000.0,118.0,282.0,70.0,55500.0,2.67e-07
5G,10,Loc_3_10m,TCP,DL,36,1.0,4601,10.0,1.0,16.0,15000000.0,698.0,902.0,56.0,2630000.0,-22.9,,-37.0,-14.0,1.0,0.0,88100.0,108.0,292.0,73.0,55500.0,2.32e-07
5G,10,Loc_3_10m,TCP,DL,37,1.0,4601,10.0,1.0,17.0,16000000.0,700.0,900.0,56.0,2210000.0,-21.6,,-36.9,-13.0,1.0,0.0,96600.0,114.0,286.0,71.0,39800.0,2.48e-07
5G,10,Loc_3_10m,TCP,DL,38,1.0,4601,9.0,1.0,16.0,15000000.0,687.0,913.0,57.0,804000.0,-21.8,,-36.9,-13.0,1.0,0.0,82500.0,104.0,296.0,74.0,108000.0,2.56e-07
5G,10,Loc_3_10m,TCP,DL,39,1.0,4601,9.0,1.0,17.0,14000000.0,651.0,705.0,51.0,50600.0,-17.8,,-36.8,-13.0,1.0,0.0,167000.0,163.0,237.0,59.0,77300.0,2.3100000000000002e-07
5G,10,Loc_3_10m,TCP,DL,40,1.0,4601,9.0,1.0,16.0,12000000.0,628.0,547.0,46.0,0.0,-15.0,,-37.2,-13.0,1.0,0.0,210000.0,192.0,208.0,52.0,55500.0,2.54e-07
5G,10,Loc_3_10m,TCP,DL,41,1.0,4601,10.0,1.0,17.0,13000000.0,634.0,500.0,44.0,80100.0,-14.2,,-37.0,-13.0,1.0,0.0,229000.0,205.0,195.0,48.0,150000.0,2.79e-07
5G,10,Loc_3_10m,TCP,DL,42,1.0,4601,10.0,1.0,17.0,14000000.0,677.0,604.0,47.0,16600.0,-17.1,,-37.2,-15.0,1.0,0.0,193000.0,180.0,220.0,55.0,97200.0,2.62e-07
5G,10,Loc_3_10m,TCP,DL,43,1.0,4601,10.0,1.0,16.0,13000000.0,666.0,562.0,45.0,0.0,-18.9,,-37.5,-17.0,1.0,0.0,192000.0,180.0,220.0,55.0,108000.0,2.53e-07
5G,10,Loc_3_10m,TCP,DL,44,1.0,4601,11.0,1.0,17.0,12000000.0,649.0,431.0,39.0,47500.0,-16.2,,-37.3,-15.0,1.0,0.0,275000.0,236.0,164.0,41.0,150000.0,2.8800000000000004e-07
5G,10,Loc_3_10m,TCP,DL,45,1.0,4601,11.0,1.0,18.0,13000000.0,635.0,431.0,40.0,0.0,-13.5,,-36.7,-16.0,1.0,0.0,276000.0,236.0,164.0,41.0,150000.0,2.72e-07
5G,10,Loc_3_10m,TCP,DL,46,1.0,4601,11.0,1.0,17.0,12000000.0,622.0,458.0,42.0,0.0,-14.0,,-37.3,-15.0,1.0,0.0,242000.0,214.0,186.0,46.0,108000.0,2.68e-07
5G,10,Loc_3_10m,TCP,DL,47,1.0,4601,11.0,1.0,16.0,12000000.0,621.0,485.0,43.0,6780.0,-15.7,,-37.6,-15.0,1.0,0.0,246000.0,216.0,184.0,46.0,108000.0,2.77e-07
5G,10,Loc_3_10m,TCP,DL,48,1.0,4601,10.0,1.0,14.0,10000000.0,639.0,380.0,37.0,49200.0,-14.3,,-37.3,-14.0,1.0,0.0,272000.0,235.0,165.0,41.0,55500.0,2.85e-07
5G,10,Loc_3_10m,TCP,DL,49,1.0,4601,11.0,1.0,15.0,10000000.0,602.0,421.0,41.0,0.0,-14.2,,-37.7,-12.0,1.0,0.0,253000.0,222.0,178.0,44.0,39800.0,2.49e-07
5G,10,Loc_3_10m,TCP,DL,50,1.0,4601,11.0,1.0,16.0,12000000.0,633.0,560.0,46.0,343000.0,-15.8,,-37.4,-12.0,1.0,0.0,213000.0,192.0,208.0,52.0,20500.0,2.32e-07
5G,10,Loc_3_10m,TCP,DL,51,1.0,4601,11.0,1.0,16.0,15000000.0,692.0,908.0,56.0,2290000.0,-21.9,,-37.1,-13.0,1.0,0.0,88100.0,108.0,292.0,73.0,28600.0,2.5000000000000004e-07
5G,10,Loc_3_10m,TCP,DL,52,1.0,4601,11.0,1.0,17.0,15000000.0,694.0,906.0,56.0,2790000.0,-21.8,,-36.8,-13.0,1.0,0.0,102000.0,118.0,282.0,70.0,39800.0,2.5700000000000004e-07
5G,10,Loc_3_10m,TCP,DL,53,1.0,4601,10.0,1.0,16.0,16000000.0,708.0,892.0,55.0,1840000.0,-22.2,,-36.3,-15.0,1.0,0.0,132000.0,139.0,261.0,65.0,39800.0,2.63e-07
5G,10,Loc_3_10m,TCP,DL,54,1.0,4601,11.0,1.0,20.0,18000000.0,680.0,920.0,57.0,0.0,-24.2,,-36.9,-12.0,1.0,0.0,102000.0,118.0,282.0,70.0,55500.0,2.7100000000000003e-07
5G,10,Loc_3_10m,TCP,DL,55,1.0,4601,11.0,1.0,17.0,8300000.000000001,445.0,300.0,40.0,10800.0,-10.4,,-36.3,-12.0,1.0,0.0,356000.0,286.0,114.0,28.0,77300.0,2.86e-07
5G,10,Loc_3_10m,TCP,DL,56,1.0,4601,10.0,1.0,14.0,8300000.000000001,544.0,374.0,40.0,0.0,-11.1,,-36.5,-12.0,1.0,0.0,319000.0,263.0,137.0,34.0,55500.0,2.72e-07
5G,10,Loc_3_10m,TCP,DL,57,1.0,4601,10.0,1.0,15.0,7800000.0,551.0,260.0,32.0,0.0,-9.8,,-36.1,-13.0,1.0,0.0,375000.0,298.0,102.0,25.0,10600.0,2.66e-07
5G,10,Loc_3_10m,TCP,DL,58,1.0,4601,10.0,1.0,15.0,6000000.0,411.0,159.0,27.0,0.0,-10.1,,-36.6,-12.0,1.0,0.0,283000.0,231.0,80.0,25.0,0.0,2.89e-07
5G,10,Loc_3_10m,TCP,DL,59,1.0,4601,12.0,1.0,19.0,432.0,1.0,0.0,0.0,0.0,2.4,,-33.4,-13.0,1.0,0.0,1410.0,2.0,0.0,0.0,0.0,3.2100000000000003e-07
5G,10,Loc_3_10m,TCP,UL,0,1.0,4601,12.0,1.0,15.0,15000.0,22.0,6.0,21.0,0.0,-1.5,,-34.7,-10.0,1.0,3.0,65600.0,31.0,13.0,29.0,0.0,4.73e-07
5G,10,Loc_3_10m,TCP,UL,1,1.0,4601,10.0,1.0,16.0,352.0,1.0,0.0,0.0,0.0,-1.2,,-35.0,-12.0,1.0,0.0,768.0,1.0,0.0,0.0,0.0,2.74e-07
5G,10,Loc_3_10m,TCP,UL,2,1.0,4601,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,-12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.91e-07
5G,10,Loc_3_10m,TCP,UL,3,1.0,4601,11.0,1.0,17.0,1200.0,3.0,0.0,0.0,0.0,-0.2,,-34.9,-15.0,1.0,0.0,3070.0,4.0,0.0,0.0,0.0,3.13e-07
5G,10,Loc_3_10m,TCP,UL,4,1.0,4601,11.0,1.0,18.0,408.0,1.0,0.0,0.0,0.0,-11.3,,-43.1,-12.0,1.0,1.0,1260.0,1.0,3.0,75.0,0.0,3.1700000000000005e-07
5G,10,Loc_3_10m,TCP,UL,5,1.0,4601,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,,-31.0,-9.0,1.0,0.0,1540.0,2.0,0.0,0.0,0.0,3.1900000000000004e-07
5G,10,Loc_3_10m,TCP,UL,6,1.0,4601,11.0,1.0,16.0,352.0,1.0,0.0,0.0,0.0,2.9,,-31.6,-11.0,1.0,0.0,1540.0,2.0,0.0,0.0,0.0,2.72e-07
5G,10,Loc_3_10m,TCP,UL,7,1.0,4601,11.0,1.0,16.0,352.0,1.0,0.0,0.0,0.0,-0.1,,-34.3,-12.0,1.0,0.0,768.0,1.0,0.0,0.0,0.0,3.27e-07
5G,10,Loc_3_10m,TCP,UL,8,1.0,4601,11.0,1.0,19.0,32000.0,34.0,3.0,8.0,0.0,2.1,,-32.8,-11.0,1.0,0.0,26100.0,24.0,1.0,4.0,0.0,3.22e-07
5G,10,Loc_3_10m,TCP,UL,9,1.0,4601,13.0,1.0,20.0,68000.0,67.0,9.0,11.0,0.0,-2.5,,-35.8,-17.0,1.0,0.0,499000.0,358.0,21.0,5.0,700000.0,3.18e-07
5G,10,Loc_3_10m,TCP,UL,10,1.0,4601,13.0,1.0,19.0,69000.0,73.0,2.0,2.0,0.0,-4.4,,-37.1,-12.0,1.0,0.0,535000.0,400.0,0.0,0.0,700000.0,3.22e-07
5G,10,Loc_3_10m,TCP,UL,11,1.0,4601,13.0,1.0,19.0,70000.0,73.0,2.0,2.0,0.0,-2.7,,-36.0,-13.0,1.0,0.0,535000.0,400.0,0.0,0.0,700000.0,3.34e-07
5G,10,Loc_3_10m,TCP,UL,12,1.0,4601,13.0,1.0,19.0,69000.0,72.0,0.0,0.0,0.0,-6.3,,-35.9,-11.0,1.0,0.0,536000.0,400.0,0.0,0.0,700000.0,3.32e-07
5G,10,Loc_3_10m,TCP,UL,13,1.0,4601,13.0,1.0,19.0,69000.0,73.0,1.0,1.0,0.0,-7.4,,-36.3,-12.0,1.0,0.0,535000.0,400.0,0.0,0.0,700000.0,2.85e-07
5G,10,Loc_3_10m,TCP,UL,14,1.0,4601,13.0,1.0,19.0,65000.0,70.0,1.0,1.0,0.0,-5.4,,-36.3,-12.0,1.0,0.0,536000.0,400.0,0.0,0.0,700000.0,2.92e-07
5G,10,Loc_3_10m,TCP,UL,15,1.0,4601,13.0,1.0,19.0,63000.0,68.0,0.0,0.0,0.0,-4.4,,-36.2,-12.0,1.0,0.0,536000.0,400.0,0.0,0.0,700000.0,3.01e-07
5G,10,Loc_3_10m,TCP,UL,16,1.0,4601,13.0,1.0,19.0,44000.0,53.0,0.0,0.0,0.0,-5.1,,-35.9,-12.0,1.0,0.0,536000.0,400.0,0.0,0.0,700000.0,3.1e-07
5G,10,Loc_3_10m,TCP,UL,17,1.0,4601,13.0,1.0,19.0,45000.0,54.0,2.0,3.0,0.0,-3.9,,-35.9,-13.0,1.0,0.0,536000.0,400.0,0.0,0.0,700000.0,3.15e-07
5G,10,Loc_3_10m,TCP,UL,18,1.0,4601,13.0,1.0,19.0,41000.0,51.0,0.0,0.0,0.0,-4.8,,-36.2,-12.0,1.0,0.0,536000.0,400.0,0.0,0.0,700000.0,3.1200000000000004e-07
5G,10,Loc_3_10m,TCP,UL,19,1.0,4601,13.0,1.0,19.0,52000.0,59.0,1.0,1.0,0.0,-4.4,,-36.0,-12.0,1.0,0.0,535000.0,400.0,0.0,0.0,700000.0,2.99e-07
5G,10,Loc_3_10m,TCP,UL,20,1.0,4601,13.0,1.0,19.0,53000.0,60.0,1.0,1.0,0.0,-4.0,,-36.1,-12.0,1.0,0.0,536000.0,400.0,0.0,0.0,700000.0,3.08e-07
5G,10,Loc_3_10m,TCP,UL,21,1.0,4601,13.0,1.0,19.0,54000.0,61.0,0.0,0.0,0.0,-3.0,,-36.2,-13.0,1.0,0.0,549000.0,400.0,0.0,0.0,700000.0,3.0200000000000003e-07
5G,10,Loc_3_10m,TCP,UL,22,1.0,4601,13.0,1.0,18.0,69000.0,74.0,0.0,0.0,0.0,-4.0,,-36.5,-15.0,1.0,0.0,609000.0,393.0,7.0,1.0,700000.0,2.8800000000000004e-07
5G,10,Loc_3_10m,TCP,UL,23,1.0,4601,13.0,1.0,18.0,37000.0,47.0,6.0,11.0,0.0,-5.6,,-38.2,-12.0,1.0,0.0,521000.0,357.0,43.0,10.0,700000.0,3.0000000000000004e-07
5G,10,Loc_3_10m,TCP,UL,24,1.0,4601,13.0,1.0,18.0,52000.0,62.0,1.0,1.0,0.0,-3.2,,-35.3,-12.0,1.0,0.0,573000.0,399.0,1.0,0.0,700000.0,3.0500000000000004e-07
5G,10,Loc_3_10m,TCP,UL,25,1.0,4601,13.0,1.0,18.0,72000.0,78.0,0.0,0.0,0.0,-1.9,,-35.6,-13.0,1.0,0.0,601000.0,398.0,2.0,0.0,700000.0,2.86e-07
5G,10,Loc_3_10m,TCP,UL,26,1.0,4601,13.0,1.0,18.0,78000.0,82.0,0.0,0.0,0.0,-2.1,,-35.2,-12.0,1.0,0.0,619000.0,397.0,3.0,0.0,700000.0,2.8300000000000003e-07
5G,10,Loc_3_10m,TCP,UL,27,1.0,4601,13.0,1.0,18.0,67000.0,73.0,0.0,0.0,0.0,-3.2,,-35.4,-12.0,1.0,0.0,540000.0,400.0,0.0,0.0,700000.0,2.92e-07
5G,10,Loc_3_10m,TCP,UL,28,1.0,4601,13.0,1.0,19.0,71000.0,74.0,0.0,0.0,0.0,-3.3,,-35.7,-12.0,1.0,0.0,545000.0,399.0,1.0,0.0,700000.0,2.96e-07
5G,10,Loc_3_10m,TCP,UL,29,1.0,4601,13.0,1.0,19.0,75000.0,77.0,0.0,0.0,0.0,-2.6,,-35.6,-13.0,1.0,0.0,585000.0,399.0,1.0,0.0,700000.0,3.06e-07
5G,10,Loc_3_10m,TCP,UL,30,1.0,4601,13.0,1.0,19.0,97000.0,95.0,0.0,0.0,0.0,-1.2,,-35.3,-13.0,1.0,1.0,770000.0,388.0,12.0,3.0,700000.0,3.13e-07
5G,10,Loc_3_10m,TCP,UL,31,1.0,4601,13.0,1.0,19.0,90000.0,90.0,0.0,0.0,0.0,-0.7,,-35.4,-13.0,1.0,0.0,720000.0,395.0,5.0,1.0,700000.0,3.1900000000000004e-07
5G,10,Loc_3_10m,TCP,UL,32,1.0,4601,13.0,1.0,19.0,90000.0,89.0,1.0,1.0,0.0,-0.4,,-35.4,-12.0,1.0,0.0,708000.0,391.0,9.0,2.0,700000.0,3.0500000000000004e-07
5G,10,Loc_3_10m,TCP,UL,33,1.0,4601,13.0,1.0,19.0,85000.0,85.0,0.0,0.0,0.0,-0.6,,-35.4,-12.0,1.0,0.0,668000.0,400.0,0.0,0.0,700000.0,3.04e-07
5G,10,Loc_3_10m,TCP,UL,34,1.0,4601,13.0,1.0,19.0,57000.0,63.0,0.0,0.0,0.0,-2.4,,-36.2,-11.0,1.0,0.0,608000.0,399.0,1.0,0.0,700000.0,3.11e-07
5G,10,Loc_3_10m,TCP,UL,35,1.0,4601,13.0,1.0,19.0,39000.0,50.0,1.0,1.0,0.0,-8.7,,-36.8,-12.0,1.0,0.0,534000.0,399.0,1.0,0.0,700000.0,3.2100000000000003e-07
5G,10,Loc_3_10m,TCP,UL,36,1.0,4601,13.0,1.0,18.0,37000.0,49.0,1.0,2.0,0.0,-4.8,,-36.1,-15.0,1.0,0.0,580000.0,369.0,31.0,7.0,700000.0,3.0200000000000003e-07
5G,10,Loc_3_10m,TCP,UL,37,1.0,4601,13.0,1.0,19.0,42000.0,51.0,4.0,7.0,0.0,-2.9,,-36.0,-14.0,1.0,0.0,555000.0,400.0,0.0,0.0,700000.0,3.01e-07
5G,10,Loc_3_10m,TCP,UL,38,1.0,4601,13.0,1.0,18.0,54000.0,63.0,2.0,3.0,0.0,-0.5,,-34.3,-13.0,1.0,0.0,675000.0,399.0,1.0,0.0,700000.0,3.11e-07
5G,10,Loc_3_10m,TCP,UL,39,1.0,4601,13.0,1.0,18.0,61000.0,68.0,0.0,0.0,0.0,-4.6,,-36.8,-14.0,1.0,0.0,544000.0,390.0,10.0,2.0,700000.0,3.1400000000000003e-07
5G,10,Loc_3_10m,TCP,UL,40,1.0,4601,13.0,1.0,17.0,66000.0,75.0,0.0,0.0,0.0,-3.8,,-35.2,-15.0,1.0,0.0,599000.0,400.0,0.0,0.0,700000.0,3.23e-07
5G,10,Loc_3_10m,TCP,UL,41,1.0,4601,12.0,1.0,16.0,65000.0,81.0,0.0,0.0,0.0,-2.2,,-34.9,-18.0,1.0,0.0,612000.0,399.0,1.0,0.0,700000.0,3.03e-07
5G,10,Loc_3_10m,TCP,UL,42,1.0,4601,12.0,1.0,16.0,56000.0,71.0,0.0,0.0,0.0,-2.6,,-34.0,-18.0,1.0,0.0,614000.0,399.0,1.0,0.0,700000.0,3.03e-07
5G,10,Loc_3_10m,TCP,UL,43,1.0,4601,12.0,1.0,16.0,64000.0,80.0,0.0,0.0,0.0,-1.0,,-33.2,-14.0,1.0,1.0,823000.0,396.0,4.0,1.0,700000.0,2.89e-07
5G,10,Loc_3_10m,TCP,UL,44,1.0,4601,13.0,1.0,18.0,55000.0,64.0,1.0,1.0,0.0,-0.6,,-33.3,-13.0,1.0,1.0,864000.0,397.0,3.0,0.0,700000.0,3.2100000000000003e-07
5G,10,Loc_3_10m,TCP,UL,45,1.0,4601,13.0,1.0,19.0,78000.0,81.0,1.0,1.0,0.0,-1.0,,-34.2,-13.0,1.0,1.0,763000.0,398.0,2.0,0.0,700000.0,2.98e-07
5G,10,Loc_3_10m,TCP,UL,46,1.0,4601,13.0,1.0,19.0,68000.0,73.0,0.0,0.0,0.0,-2.0,,-34.7,-12.0,1.0,0.0,643000.0,399.0,1.0,0.0,700000.0,3.0500000000000004e-07
5G,10,Loc_3_10m,TCP,UL,47,1.0,4601,13.0,1.0,19.0,75000.0,77.0,0.0,0.0,0.0,-2.9,,-34.6,-12.0,1.0,0.0,651000.0,397.0,3.0,0.0,700000.0,3.1400000000000003e-07
5G,10,Loc_3_10m,TCP,UL,48,1.0,4601,14.0,1.0,20.0,68000.0,69.0,0.0,0.0,0.0,-8.9,,-35.9,-10.0,1.0,0.0,535000.0,400.0,0.0,0.0,700000.0,3.15e-07
